CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Timepoint
CI1799,patient,EP,1,2724.23568281938,333.544052863436,69728.2382534372,8537.2346206144,44.5614371331252,1140.57330829703,25.5955234318323,1,26
CI1799,patient,EP,2,4393.89207048458,1666.21806167401,112463.96744703,42647.7234401193,30.2096586187595,773.232025044113,25.5955234318323,1,26
CI1799,patient,EP,3,3899.3986784141,1886.48237885463,99807.150243404,48285.5039317123,34.3820159849644,880.025695776789,25.5955234318323,1,26
CI1799,patient,EP,4,1644.53968253968,2044.95238095238,42092.8539790225,52341.6265836479,0,0,25.5955234318323,1,26
CI1799,patient,EP,5,3451.53174603175,1302.88095238095,88343.7616812686,33347.9199455547,0,0,25.5955234318323,1,26
CI1799,patient,EP,1,2536.61013215859,1205.56167400881,63910.7597256178,30374.5386432027,32.2683786200778,813.012834167028,25.1953419705185,2,26
CI1799,patient,EP,2,4160.0154185022,1390.56167400881,104813.011071793,35035.6769077487,31.6938214834358,798.536670627732,25.1953419705185,2,26
CI1799,patient,EP,3,3658.53964757709,1948.31497797357,92178.1575334051,49088.4621363273,37.6473455887252,948.537746390222,25.1953419705185,2,26
CI1799,patient,EP,4,2986.04185022026,2195.63656387665,75234.3455545793,55319.8140698464,44.3961901963625,1118.57719418553,25.1953419705185,2,26
CI1799,patient,EP,5,3235.02422907489,2597.26211453745,81507.5417344548,65438.9071628429,32.2683786200778,813.012834167028,25.1953419705185,2,26
CI1799,patient,EP,6,3174.45154185022,2665.54405286344,79981.392165756,67159.2939493761,25.5523757828025,643.800846006905,25.1953419705185,2,26
CI1799,patient,EP,1,1215.71806167401,1097.67841409692,35989.3937276107,32495.0182749085,19.2208286138281,569.001967282998,29.6034046562197,3,26
CI1799,patient,EP,2,1448.76651982379,1455.87665198238,42888.4215387267,43098.9056581767,9.57466558671556,283.442699811522,29.6034046562197,3,26
CI1799,patient,EP,3,2895.02202643172,1607.66079295154,85702.5085371272,47592.2330036835,20.3587134684124,602.687233085441,29.6034046562197,3,26
CI1799,patient,EP,1,3195.07488986784,501.502202643172,82039.1286398885,12876.9450275804,25.978232816119,667.036503775569,25.6767467016342,4,26
CI1799,patient,EP,2,1956.92070484581,2518.66960352423,50247.3572535095,64671.2414347972,37.3068645124952,957.918910319528,25.6767467016342,4,26
